set,model,condition,test_rows,attack_share,accuracy,precision,recall,f1,fpr
set_01,RF,same_vehicle,,,,,,,
set_01,RF,cross_vehicle,,,,,,,
set_01,DT,same_vehicle,,,,,,,
set_01,DT,cross_vehicle,,,,,,,
set_01,SVM,same_vehicle,,,,,,,
set_01,SVM,cross_vehicle,,,,,,,
set_02,RF,same_vehicle,,,,,,,
set_02,RF,cross_vehicle,,,,,,,
set_02,DT,same_vehicle,,,,,,,
set_02,DT,cross_vehicle,,,,,,,
set_02,SVM,same_vehicle,,,,,,,
set_02,SVM,cross_vehicle,,,,,,,
set_03,RF,same_vehicle,,,,,,,
set_03,RF,cross_vehicle,,,,,,,
set_03,DT,same_vehicle,,,,,,,
set_03,DT,cross_vehicle,,,,,,,
set_03,SVM,same_vehicle,,,,,,,
set_03,SVM,cross_vehicle,,,,,,,
set_04,RF,same_vehicle,,,,,,,
set_04,RF,cross_vehicle,,,,,,,
set_04,DT,same_vehicle,,,,,,,
set_04,DT,cross_vehicle,,,,,,,
set_04,SVM,same_vehicle,,,,,,,
set_04,SVM,cross_vehicle,,,,,,,
